Month,Tonnes Removed:,,,,,
Dec 2020 Total,1.84,,,,,
Jan 2021 Total,5.83,,,,,
Feb 2021 Total,4.26,,,,,
Mar 2021 Total,8.84,,,,,
Apr 2021 Total,7.3,,,,,
May 2021 Total,6.12,,,,,
Jun 2021 Total,12.95,,,,,
Jul 2021 Total,8.09,,,,,
Aug 2021 Total,9.5,,,,,
Sep 2021 Total,4.36,,,,,
Oct 2021 Total,6.17,,,,,
Nov 2021 Total,6.13,,,,,
Dec 2021 Total,6.27,,,,,
Jan 2022 Total,9.98,,,,,
Feb 2022 Total,12.67,,,,,
Mar 2022 Total,9.29,,,,,
Apr 2022 Total,13.64,,,,,
May 2022 Total,5.54,,,,,
Jun 2022 Total,12.61,,,,,
Jul 2022 Total,8.17,,,,,
Aug 2022 Total,6.35,,,,,
Sep 2022 Total,6.47,,,,,
Oct 2022 Total,6.58,,,,,